time,conc,concm,conc_ave
391.5083081592907,0.23540230854269906,0.07474647729606727,0.18159927421304012
391.69177034680683,0.2352918576442244,0.07481638225361771,0.18154922381318403
391.8752325343229,0.23518106038494874,0.0748862079220463,0.18149891649382888
392.05869472183895,0.2350699180390079,0.07495595418763268,0.1814483530643228
392.242156909355,0.2349584318795193,0.07502562093726386,0.18139753433353978
392.4256190968711,0.23484660317857298,0.07509520805843348,0.18134646110987374
392.6090812843872,0.23473443320722076,0.07516471543924104,0.18129513420123095
392.79254347190323,0.23462192323546663,0.07523414296839123,0.18124355441502343
392.97600565941934,0.23450907453225728,0.07530349053519303,0.18119172255816246
393.15946784693534,0.23439588836547154,0.07537275802955908,0.18113963943705114
393.34293003445146,0.2342823660019117,0.07544194534200487,0.18108730585757848
393.5263922219675,0.2341685087072931,0.07551105236364794,0.18103472262511208
393.70985440948357,0.23405431774623472,0.0755800789862072,0.18098189054449204
393.8933165969996,0.23393979438224974,0.07564902510200203,0.18092881042002373
394.07677878451574,0.23382493987773603,0.07571789060395163,0.1808754830554718
394.2602409720318,0.23370975549396675,0.07578667538557417,0.18082190925405345
394.44370315954785,0.23359424249108085,0.07585537934098599,0.1807680898184317
394.62716534706396,0.2334784021280739,0.07592400236490084,0.18071402555070934
394.81062753457996,0.23336223566278883,0.07599254435262905,0.18065971725242227
394.9940897220961,0.2332457443519068,0.07606100520007682,0.18060516572453317
395.17755190961213,0.23312892945093786,0.07612938480374534,0.1805503717674251
395.3610140971282,0.2330117922142121,0.07619768306073002,0.18049533618089542
395.54447628464425,0.23289433389487052,0.07626589986871964,0.18044005976414929
395.72793847216036,0.2327765557448561,0.07633403512599557,0.18038454331579343
395.9114006596764,0.23265845901490456,0.07640208873143102,0.18032878763382992
396.0948628471925,0.2325400449545362,0.0764700605844901,0.18027279351565031
396.2783250347086,0.23242131481204656,0.07653795058522708,0.18021656175802922
396.4617872222246,0.23230226983449764,0.07660575863428558,0.18016009315711817
396.6452494097407,0.23218291126770976,0.07667348463289765,0.18010338850843993
396.8287115972567,0.23206324035625242,0.07674112848288298,0.18004644860688213
397.0121737847728,0.2319432583434356,0.07680869008664816,0.17998927424669126
397.1956359722889,0.2318229664713018,0.07687616934718572,0.179931866221467
397.3790981598049,0.2317023659806173,0.07694356616807331,0.17987422532415615
397.56256034732104,0.23158145811086372,0.07701088045347293,0.17981635234704688
397.7460225348371,0.23146024410022958,0.07707811210813,0.17975824808176258
397.92948472235315,0.23133872518560206,0.07714526103737251,0.17969991331925622
